date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:00:47	27216/27216	---MCZ	200	added ('OK')	text/html	etag:W/%22dd9d39f034d4efb126345b28e70b60e4%22	https://ajit-prasad-portfolio.vercel.app/	D:/New%20folder/r5/ajit-prasad-portfolio.vercel.app/index.html	(from )
08:00:47	1492/1492	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Aug%202024%2002:00:48%20GMT	https://ajit-prasad-portfolio.vercel.app/robots.txt		(from )
08:00:48	16160/16160	---MCZ	200	added ('OK')	text/css	etag:W/%220bcae1de17787c84c72b932e9c248466%22	https://ajit-prasad-portfolio.vercel.app/css/style.css	D:/New%20folder/r5/ajit-prasad-portfolio.vercel.app/css/style.css	(from https://ajit-prasad-portfolio.vercel.app/)
08:00:48	38/38	---M--	200	added ('OK')	text/css	etag:%22ee2333cf62258b73d5ef259a1845041c%22	https://ajit-prasad-portfolio.vercel.app/css/skins/color-1.css	D:/New%20folder/r5/ajit-prasad-portfolio.vercel.app/css/skins/color-1.css	(from https://ajit-prasad-portfolio.vercel.app/)
08:00:49	59305/59305	---M-Z	200	added ('OK')	text/css	etag:%22613fa20b-3171%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	D:/New%20folder/r5/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	(from https://ajit-prasad-portfolio.vercel.app/)
08:00:49	38/38	---M--	200	added ('OK')	text/css	etag:%226bb7170c569d8d59bc73cda2e31a9c6b%22	https://ajit-prasad-portfolio.vercel.app/css/skins/color-2.css	D:/New%20folder/r5/ajit-prasad-portfolio.vercel.app/css/skins/color-2.css	(from https://ajit-prasad-portfolio.vercel.app/)
08:00:50	38/38	---M--	200	added ('OK')	text/css	etag:%22988d91754210622a1c3b15cc7081eb49%22	https://ajit-prasad-portfolio.vercel.app/css/skins/color-3.css	D:/New%20folder/r5/ajit-prasad-portfolio.vercel.app/css/skins/color-3.css	(from https://ajit-prasad-portfolio.vercel.app/)
08:00:50	38/38	---M--	200	added ('OK')	text/css	etag:%224999884b123fb5e972826f27084ca772%22	https://ajit-prasad-portfolio.vercel.app/css/skins/color-4.css	D:/New%20folder/r5/ajit-prasad-portfolio.vercel.app/css/skins/color-4.css	(from https://ajit-prasad-portfolio.vercel.app/)
08:00:51	43/43	---M--	200	added ('OK')	text/css	etag:%224361aa5b687b85b26e14280ece9134c9%22	https://ajit-prasad-portfolio.vercel.app/css/skins/color-5.css	D:/New%20folder/r5/ajit-prasad-portfolio.vercel.app/css/skins/color-5.css	(from https://ajit-prasad-portfolio.vercel.app/)
08:00:51	1602/1602	---MCZ	200	added ('OK')	text/css	etag:W/%229381f9a91977602b70a899de7c7fc062%22	https://ajit-prasad-portfolio.vercel.app/css/style-switcher.css	D:/New%20folder/r5/ajit-prasad-portfolio.vercel.app/css/style-switcher.css	(from https://ajit-prasad-portfolio.vercel.app/)
08:00:52	1413094/1413094	---M--	200	added ('OK')	image/jpeg	etag:%2279ae1743bce09f7825d9400be53948f7%22	https://ajit-prasad-portfolio.vercel.app/images/hero.jpg	D:/New%20folder/r5/ajit-prasad-portfolio.vercel.app/images/hero.jpg	(from https://ajit-prasad-portfolio.vercel.app/)
08:00:52	622336/622336	---M--	200	added ('OK')	image/jpeg	etag:%22444d4db2262e002bb2a169bc4c5ee329%22	https://ajit-prasad-portfolio.vercel.app/images/portfolio/portfolio-1.jpg	D:/New%20folder/r5/ajit-prasad-portfolio.vercel.app/images/portfolio/portfolio-1.jpg	(from https://ajit-prasad-portfolio.vercel.app/)
08:00:53	417291/417291	---M--	200	added ('OK')	image/jpeg	etag:%229da7cf1452b52715dc182a2c4adc7d8f%22	https://ajit-prasad-portfolio.vercel.app/images/portfolio/portfolio-2.jpg	D:/New%20folder/r5/ajit-prasad-portfolio.vercel.app/images/portfolio/portfolio-2.jpg	(from https://ajit-prasad-portfolio.vercel.app/)
08:00:53	368415/368415	---M--	200	added ('OK')	image/jpeg	etag:%22dc77afbd78518cb2fab3446316baf1ef%22	https://ajit-prasad-portfolio.vercel.app/images/portfolio/portfolio-3.jpg	D:/New%20folder/r5/ajit-prasad-portfolio.vercel.app/images/portfolio/portfolio-3.jpg	(from https://ajit-prasad-portfolio.vercel.app/)
08:00:54	249883/249883	---M--	200	added ('OK')	image/jpeg	etag:%2222014437e0b8dcfcbf5116ed0a385244%22	https://ajit-prasad-portfolio.vercel.app/images/portfolio/portfolio-4.jpg	D:/New%20folder/r5/ajit-prasad-portfolio.vercel.app/images/portfolio/portfolio-4.jpg	(from https://ajit-prasad-portfolio.vercel.app/)
08:00:54	371088/371088	---M--	200	added ('OK')	image/jpeg	etag:%22bd80b2d08dc49905ae85723e2730faf5%22	https://ajit-prasad-portfolio.vercel.app/images/portfolio/portfolio-5.jpg	D:/New%20folder/r5/ajit-prasad-portfolio.vercel.app/images/portfolio/portfolio-5.jpg	(from https://ajit-prasad-portfolio.vercel.app/)
08:00:54	614866/614866	---M--	200	added ('OK')	image/jpeg	etag:%22d85af4c3ba05ec69d63fe3204ff193ab%22	https://ajit-prasad-portfolio.vercel.app/images/portfolio/portfolio-6.jpg	D:/New%20folder/r5/ajit-prasad-portfolio.vercel.app/images/portfolio/portfolio-6.jpg	(from https://ajit-prasad-portfolio.vercel.app/)
08:00:55	11792/11792	---M-Z	200	added ('OK')	application/javascript	etag:%22605e8bc2-2e10%22	https://cdnjs.cloudflare.com/ajax/libs/typed.js/2.0.12/typed.min.js	D:/New%20folder/r5/cdnjs.cloudflare.com/ajax/libs/typed.js/2.0.12/typed.min.js	(from https://ajit-prasad-portfolio.vercel.app/)
08:00:55	2862/2862	---MCZ	200	added ('OK')	application/javascript	etag:W/%22aee95f61d3eefa2f90319c95dc8bb56e%22	https://ajit-prasad-portfolio.vercel.app/js/script.js	D:/New%20folder/r5/ajit-prasad-portfolio.vercel.app/js/script.js	(from https://ajit-prasad-portfolio.vercel.app/)
08:01:01	1608/1608	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b6aa9a51e46f7232b76e36ca04babe6a%22	https://ajit-prasad-portfolio.vercel.app/js/style-switcher.js	D:/New%20folder/r5/ajit-prasad-portfolio.vercel.app/js/style-switcher.js	(from https://ajit-prasad-portfolio.vercel.app/)
